Business Type,Cargo Type,Total Weight,Date Time,Season,Profit %,Destination,Region Type
Electronics,Televisions,750,19-04-2016 23:09,Summer,21,Morocco,Africa
Electronics,Televisions,850,19-04-2016 23:09,Summer,7,Morocco,Africa
Electronics,Televisions,975,19-04-2016 23:09,Summer,24,Morocco,Africa
Electronics,Televisions,575,19-04-2016 23:09,Summer,5,Morocco,Africa
Electronics,Televisions,1225,19-04-2016 23:09,Summer,14,Morocco,Africa
Electronics,Televisions,725,03-03-2016 06:05,Summer,8,China,Asia
Electronics,Televisions,575,03-03-2016 06:05,Summer,12,China,Asia
Electronics,Televisions,925,03-03-2016 06:05,Summer,6,China,Asia
Electronics,Televisions,875,03-03-2016 06:05,Summer,19,China,Asia
Electronics,Televisions,1050,03-03-2016 06:05,Summer,23,China,Asia
Electronics,Televisions,650,10-09-2016 20:27,Rainy,7,India,Asia
Electronics,Televisions,625,10-09-2016 20:27,Rainy,22,India,Asia
Electronics,Televisions,650,10-09-2016 20:27,Rainy,23,India,Asia
Electronics,Televisions,1175,10-09-2016 20:27,Rainy,7,India,Asia
Electronics,Televisions,675,10-09-2016 20:27,Rainy,22,India,Asia
Electronics,Televisions,950,29-05-2016 19:13,Summer,22,Russia,America
Electronics,Televisions,550,29-05-2016 19:13,Summer,17,Russia,America
Electronics,Televisions,1100,29-05-2016 19:13,Summer,21,Russia,America
Electronics,Televisions,675,29-05-2016 19:13,Summer,17,Russia,America
Electronics,Televisions,525,29-05-2016 19:13,Summer,9,Russia,America
Electronics,Televisions,750,10-05-2016 14:54,Summer,11,Kenya,Africa
Electronics,Televisions,850,10-05-2016 14:54,Summer,5,Kenya,Africa
Electronics,Televisions,1175,10-05-2016 14:54,Summer,10,Kenya,Africa
Electronics,Televisions,525,10-05-2016 14:54,Summer,5,Kenya,Africa
Electronics,Televisions,1100,10-05-2016 14:54,Summer,9,Kenya,Africa
Electronics,Televisions,775,25-04-2016 16:37,Summer,20,Japan,Asia
Electronics,Televisions,875,25-04-2016 16:37,Summer,10,Japan,Asia
Electronics,Televisions,775,25-04-2016 16:37,Summer,5,Japan,Asia
Electronics,Televisions,600,25-04-2016 16:37,Summer,15,Japan,Asia
Electronics,Televisions,700,25-04-2016 16:37,Summer,21,Japan,Asia
Electronics,Televisions,500,23-01-2016 15:23,Winter,9,India,Asia
Electronics,Televisions,1150,23-01-2016 15:23,Winter,6,India,Asia
Electronics,Televisions,1000,23-01-2016 15:23,Winter,17,India,Asia
Electronics,Televisions,1125,23-01-2016 15:23,Winter,22,India,Asia
Electronics,Televisions,875,23-01-2016 15:23,Winter,8,India,Asia
Electronics,Televisions,1225,16-04-2016 16:35,Summer,17,France ,Europe
Electronics,Televisions,1225,16-04-2016 16:35,Summer,8,France ,Europe
Electronics,Televisions,850,16-04-2016 16:35,Summer,23,France ,Europe
Electronics,Televisions,750,16-04-2016 16:35,Summer,19,France ,Europe
Electronics,Televisions,1225,16-04-2016 16:35,Summer,25,France ,Europe
Electronics,Televisions,1075,01-12-2016 20:31,Winter,23,France ,Europe
Electronics,Televisions,600,01-12-2016 20:31,Winter,10,France ,Europe
Electronics,Televisions,675,01-12-2016 20:31,Winter,13,France ,Europe
Electronics,Televisions,525,01-12-2016 20:31,Winter,22,France ,Europe
Electronics,Televisions,725,01-12-2016 20:31,Winter,23,France ,Europe
Electronics,Televisions,625,08-11-2016 09:33,Winter,12,Nigeria,Africa
Electronics,Televisions,950,08-11-2016 09:33,Winter,6,Nigeria,Africa
Electronics,Televisions,1100,08-11-2016 09:33,Winter,10,Nigeria,Africa
Electronics,Televisions,825,08-11-2016 09:33,Winter,16,Nigeria,Africa
Electronics,Televisions,1150,08-11-2016 09:33,Winter,10,Nigeria,Africa
Electronics,Home Entertainment Systems,1075,06-11-2016 11:16,Winter,13,India,Asia
Electronics,Home Entertainment Systems,675,06-11-2016 11:16,Winter,20,India,Asia
Electronics,Home Entertainment Systems,1175,06-11-2016 11:16,Winter,12,India,Asia
Electronics,Home Entertainment Systems,1025,06-11-2016 11:16,Winter,8,India,Asia
Electronics,Home Entertainment Systems,675,06-11-2016 11:16,Winter,15,India,Asia
Electronics,Home Entertainment Systems,1200,19-03-2016 16:33,Summer,23,France ,Europe
Electronics,Home Entertainment Systems,1125,19-03-2016 16:33,Summer,9,France ,Europe
Electronics,Home Entertainment Systems,650,19-03-2016 16:33,Summer,5,France ,Europe
Electronics,Home Entertainment Systems,1050,19-03-2016 16:33,Summer,12,France ,Europe
Electronics,Home Entertainment Systems,1100,19-03-2016 16:33,Summer,19,France ,Europe
Electronics,Home Entertainment Systems,500,15-07-2016 13:10,Rainy,11,India,Asia
Electronics,Home Entertainment Systems,600,15-07-2016 13:10,Rainy,22,India,Asia
Electronics,Home Entertainment Systems,800,15-07-2016 13:10,Rainy,11,India,Asia
Electronics,Home Entertainment Systems,750,15-07-2016 13:10,Rainy,7,India,Asia
Electronics,Home Entertainment Systems,775,15-07-2016 13:10,Rainy,24,India,Asia
Electronics,Home Entertainment Systems,850,13-11-2016 15:45,Winter,20,Netherlands ,Europe
Electronics,Home Entertainment Systems,1025,13-11-2016 15:45,Winter,6,Netherlands ,Europe
Electronics,Home Entertainment Systems,575,13-11-2016 15:45,Winter,8,Netherlands ,Europe
Electronics,Home Entertainment Systems,1100,13-11-2016 15:45,Winter,10,Netherlands ,Europe
Electronics,Home Entertainment Systems,750,13-11-2016 15:45,Winter,5,Netherlands ,Europe
Electronics,Home Entertainment Systems,1125,28-12-2016 18:20,Winter,7,Panama,America
Electronics,Home Entertainment Systems,750,28-12-2016 18:20,Winter,22,Panama,America
Electronics,Home Entertainment Systems,500,28-12-2016 18:20,Winter,15,Panama,America
Electronics,Home Entertainment Systems,850,28-12-2016 18:20,Winter,20,Panama,America
Electronics,Home Entertainment Systems,1150,28-12-2016 18:20,Winter,23,Panama,America
Electronics,Home Entertainment Systems,525,13-02-2016 22:22,Summer,19,France ,Europe
Electronics,Home Entertainment Systems,1125,13-02-2016 22:22,Summer,22,France ,Europe
Electronics,Home Entertainment Systems,600,13-02-2016 22:22,Summer,16,France ,Europe
Electronics,Home Entertainment Systems,1150,13-02-2016 22:22,Summer,25,France ,Europe
Electronics,Home Entertainment Systems,1150,13-02-2016 22:22,Summer,24,France ,Europe
Electronics,Home Entertainment Systems,1225,12-06-2016 12:16,Rainy,13,Morocco,Africa
Electronics,Home Entertainment Systems,550,12-06-2016 12:16,Rainy,7,Morocco,Africa
Electronics,Home Entertainment Systems,650,12-06-2016 12:16,Rainy,23,Morocco,Africa
Electronics,Home Entertainment Systems,875,12-06-2016 12:16,Rainy,8,Morocco,Africa
Electronics,Home Entertainment Systems,625,12-06-2016 12:16,Rainy,25,Morocco,Africa
Electronics,Home Entertainment Systems,950,18-08-2016 03:00,Rainy,7,Columbia,America
Electronics,Home Entertainment Systems,850,18-08-2016 03:00,Rainy,14,Columbia,America
Electronics,Home Entertainment Systems,625,18-08-2016 03:00,Rainy,13,Columbia,America
Electronics,Home Entertainment Systems,925,18-08-2016 03:00,Rainy,18,Columbia,America
Electronics,Home Entertainment Systems,1050,18-08-2016 03:00,Rainy,23,Columbia,America
Electronics,Home Entertainment Systems,575,01-03-2016 22:39,Summer,14,Morocco,Africa
Electronics,Home Entertainment Systems,800,01-03-2016 22:39,Summer,16,Morocco,Africa
Electronics,Home Entertainment Systems,750,01-03-2016 22:39,Summer,17,Morocco,Africa
Electronics,Home Entertainment Systems,1050,01-03-2016 22:39,Summer,21,Morocco,Africa
